,customerID,tenure,PhoneService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,gender,SeniorCitizen,Partner,Dependents,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,gender_Male,InternetService_Fiber optic,InternetService_No
67,3410-YOQBQ,31,1,Two year,0,Mailed check,79.2,2497.2,0,Female,0,0,0,No,DSL,No,Yes,Yes,Yes,Yes,Yes,0,1,0,0,1,0,0,0
68,3170-NMYVV,50,1,Two year,0,Bank transfer (automatic),20.15,930.9,0,Female,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,1,0,0,0,0,0,1
69,7410-OIEDU,10,1,Month-to-month,1,Mailed check,79.85,887.35,0,Male,0,0,0,No,Fiber optic,Yes,No,Yes,No,No,No,0,0,0,0,1,1,1,0
70,2273-QCKXA,1,1,Month-to-month,0,Mailed check,49.05,49.05,0,Male,0,0,0,No,DSL,No,No,No,Yes,No,No,0,0,0,0,1,1,0,0
71,0731-EBJQB,52,1,One year,1,Electronic check,20.4,1090.65,0,Female,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,0,0,1,0,0,0,1
72,1891-QRQSA,64,1,Two year,1,Bank transfer (automatic),111.6,7099,0,Male,1,1,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,0,1,0,0,0,1,1,0
73,8028-PNXHQ,62,1,Two year,1,Bank transfer (automatic),24.25,1424.6,0,Male,0,1,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,1,0,0,0,1,0,1
74,5630-AHZIL,3,1,Month-to-month,1,Bank transfer (automatic),64.5,177.4,0,Female,0,0,1,No,DSL,Yes,No,No,Yes,No,Yes,0,0,0,0,0,0,0,0
75,2673-CXQEU,56,1,One year,0,Electronic check,110.5,6139.5,0,Female,1,0,0,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,1,0,0,1,0,0,1,0
76,6416-JNVRK,46,1,One year,0,Credit card (automatic),55.65,2688.85,0,Female,0,0,0,No,DSL,No,No,No,No,No,Yes,1,0,1,0,0,0,0,0
77,5590-ZSKRV,8,1,Month-to-month,0,Mailed check,54.65,482.25,0,Female,0,1,1,No,DSL,Yes,Yes,No,No,No,No,0,0,0,0,1,0,0,0
78,0191-ZHSKZ,30,1,Month-to-month,1,Electronic check,74.75,2111.3,0,Male,1,0,0,No,DSL,Yes,Yes,No,No,Yes,Yes,0,0,0,1,0,1,0,0
79,3887-PBQAO,45,1,One year,1,Credit card (automatic),25.9,1216.6,0,Female,0,1,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,0,1,0,0,0,0,1
80,5919-TMRGD,1,1,Month-to-month,1,Electronic check,79.35,79.35,1,Female,0,0,1,No,Fiber optic,No,No,No,No,Yes,No,0,0,0,1,0,0,1,0
81,8108-UXRQN,11,0,Month-to-month,0,Electronic check,50.55,565.35,0,Female,0,1,1,No phone service,DSL,Yes,No,No,No,Yes,Yes,0,0,0,1,0,0,0,0
82,9191-MYQKX,7,1,Month-to-month,1,Bank transfer (automatic),75.15,496.9,1,Female,0,1,0,No,Fiber optic,No,No,Yes,No,No,No,0,0,0,0,0,0,1,0
83,9919-YLNNG,42,1,Month-to-month,1,Bank transfer (automatic),103.8,4327.5,0,Female,0,0,0,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,0,0,0,0,0,0,1,0
84,0318-ZOPWS,49,1,Two year,1,Bank transfer (automatic),20.15,973.35,0,Female,0,1,0,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,1,0,0,0,0,0,1
85,4445-ZJNMU,9,1,Month-to-month,1,Credit card (automatic),99.3,918.75,0,Male,0,0,0,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,0,0,1,0,0,1,1,0
86,4808-YNLEU,35,1,One year,1,Bank transfer (automatic),62.15,2215.45,0,Female,0,1,0,No,DSL,Yes,No,No,No,Yes,No,1,0,0,0,0,0,0,0
87,1862-QRWPE,48,1,Two year,0,Bank transfer (automatic),20.65,1057,0,Female,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,1,0,0,0,0,0,1
88,2796-NNUFI,46,1,Two year,1,Mailed check,19.95,927.1,0,Female,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,1,0,0,1,0,0,1
89,3016-KSVCP,29,0,Month-to-month,0,Mailed check,33.75,1009.25,0,Male,0,1,0,No phone service,DSL,No,No,No,No,Yes,No,0,0,0,0,1,1,0,0
90,4767-HZZHQ,30,1,Month-to-month,0,Bank transfer (automatic),82.05,2570.2,0,Male,0,1,1,No,Fiber optic,No,Yes,Yes,No,No,No,0,0,0,0,0,1,1,0
91,2424-WVHPL,1,1,Month-to-month,0,Electronic check,74.7,74.7,0,Male,1,0,0,No,Fiber optic,No,No,No,Yes,No,No,0,0,0,1,0,1,1,0
92,7233-PAHHL,66,1,Two year,1,Mailed check,84.0,5714.25,0,Male,0,1,1,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,0,1,0,0,1,1,0,0
93,6067-NGCEU,65,1,Month-to-month,1,Credit card (automatic),111.05,7107,0,Female,0,0,0,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,0,0,1,0,0,0,1,0
94,9848-JQJTX,72,1,Two year,1,Bank transfer (automatic),100.9,7459.05,0,Male,0,0,0,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,0,1,0,0,0,1,1,0
95,8637-XJIVR,12,1,Month-to-month,1,Electronic check,78.95,927.35,1,Female,0,0,0,Yes,Fiber optic,Yes,No,No,No,No,No,0,0,0,1,0,0,1,0
96,9803-FTJCG,71,1,One year,1,Credit card (automatic),66.85,4748.7,0,Male,0,1,1,Yes,DSL,Yes,Yes,No,Yes,No,No,1,0,1,0,0,1,0,0
97,0278-YXOOG,5,1,Month-to-month,0,Mailed check,21.05,113.85,1,Male,0,0,0,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,0,0,0,1,1,0,1
98,3212-KXOCR,52,1,Two year,0,Bank transfer (automatic),21.0,1107.2,0,Male,0,0,0,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,1,0,0,0,1,0,1
99,4598-XLKNJ,25,1,Month-to-month,1,Electronic check,98.5,2514.5,1,Female,1,1,0,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,0,0,0,1,0,0,1,0
100,6380-ARCEH,1,1,Month-to-month,0,Mailed check,20.2,20.2,0,Male,0,0,0,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,0,0,0,1,1,0,1
101,3679-XASPY,1,1,Month-to-month,0,Electronic check,19.45,19.45,0,Female,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,0,0,1,0,0,0,1
102,7123-WQUHX,38,1,One year,0,Bank transfer (automatic),95.0,3605.6,0,Male,0,0,0,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,1,0,0,0,0,1,1,0
103,5386-THSLQ,66,0,One year,0,Bank transfer (automatic),45.55,3027.25,0,Female,1,1,0,No phone service,DSL,No,Yes,Yes,No,Yes,No,1,0,0,0,0,0,0,0
104,3192-NQECA,68,1,Two year,1,Bank transfer (automatic),110.0,7611.85,1,Male,0,1,0,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,0,1,0,0,0,1,1,0
105,6180-YBIQI,5,0,Month-to-month,0,Mailed check,24.3,100.2,0,Male,0,0,0,No phone service,DSL,No,No,No,No,No,No,0,0,0,0,1,1,0,0
106,6728-DKUCO,72,1,One year,1,Electronic check,104.15,7303.05,0,Female,0,1,1,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,1,0,0,1,0,0,1,0
107,9750-BOOHV,32,0,One year,0,Mailed check,30.15,927.65,0,Female,0,0,0,No phone service,DSL,Yes,No,No,No,No,No,1,0,0,0,1,0,0,0
108,8597-CWYHH,43,1,One year,0,Mailed check,94.35,3921.3,0,Male,0,0,0,Yes,Fiber optic,No,No,No,No,Yes,Yes,1,0,0,0,1,1,1,0
109,2848-YXSMW,72,1,Two year,0,Credit card (automatic),19.4,1363.25,0,Male,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,1,1,0,0,1,0,1
110,0486-HECZI,55,1,Month-to-month,1,Electronic check,96.75,5238.9,1,Male,0,1,0,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,0,0,0,1,0,1,1,0
111,4549-ZDQYY,52,1,One year,0,Credit card (automatic),57.95,3042.25,0,Female,0,0,0,No,DSL,Yes,No,Yes,Yes,No,No,1,0,1,0,0,0,0,0
112,5712-AHQNN,43,1,Month-to-month,1,Electronic check,91.65,3954.1,0,Female,0,0,0,No,Fiber optic,No,Yes,Yes,No,Yes,No,0,0,0,1,0,0,1,0
113,4846-WHAFZ,37,1,Month-to-month,1,Electronic check,76.5,2868.15,1,Female,1,1,0,Yes,Fiber optic,No,No,No,No,No,No,0,0,0,1,0,0,1,0
114,5256-SKJGO,64,0,Two year,1,Electronic check,54.6,3423.5,0,Female,0,1,1,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,0,1,0,1,0,0,0,0
115,3071-VBYPO,3,1,Month-to-month,0,Electronic check,89.85,248.4,0,Male,0,1,1,No,Fiber optic,Yes,Yes,No,No,Yes,No,0,0,0,1,0,1,1,0
116,9560-BBZXK,36,0,Two year,0,Bank transfer (automatic),31.05,1126.35,0,Female,0,0,0,No phone service,DSL,Yes,No,No,No,No,No,0,1,0,0,0,0,0,0
117,5299-RULOA,10,1,Month-to-month,1,Electronic check,100.25,1064.65,1,Female,0,1,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,0,0,0,1,0,0,1,0
118,8402-OOOHJ,41,1,Two year,0,Mailed check,20.65,835.15,0,Female,0,0,0,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,1,0,0,1,0,0,1
119,9445-ZUEQE,27,1,Month-to-month,1,Credit card (automatic),85.2,2151.6,0,Male,0,1,1,Yes,Fiber optic,No,Yes,No,Yes,No,No,0,0,1,0,0,1,1,0
120,1091-SOZGA,56,1,One year,1,Credit card (automatic),99.8,5515.45,0,Female,0,1,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,1,0,1,0,0,0,1,0
121,2928-HLDBA,6,1,Month-to-month,0,Mailed check,20.7,112.75,0,Female,0,0,0,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,0,0,0,1,0,0,1
122,0404-SWRVG,3,1,Month-to-month,1,Electronic check,74.4,229.55,1,Male,0,0,0,Yes,Fiber optic,No,No,No,No,No,No,0,0,0,1,0,1,1,0
123,6497-TILVL,7,1,Month-to-month,0,Mailed check,50.7,350.35,0,Female,0,1,1,No,DSL,Yes,No,No,No,No,No,0,0,0,0,1,0,0,0
124,7219-TLZHO,4,1,Month-to-month,0,Mailed check,20.85,62.9,0,Female,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,0,0,0,1,0,0,1
125,4622-YNKIJ,33,1,Two year,1,Electronic check,88.95,3027.65,0,Male,0,0,0,No,Fiber optic,Yes,No,No,Yes,Yes,No,0,1,0,1,0,1,1,0
126,4412-YLTKF,27,1,Month-to-month,1,Electronic check,78.05,2135.5,1,Female,1,0,0,Yes,Fiber optic,No,No,Yes,No,No,No,0,0,0,1,0,0,1,0
127,6734-PSBAW,72,1,Two year,1,Bank transfer (automatic),23.55,1723.95,0,Male,0,1,0,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,1,0,0,0,1,0,1
128,3930-ZGWVE,1,1,Month-to-month,0,Mailed check,19.75,19.75,0,Male,0,0,0,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,0,0,0,1,1,0,1
129,2639-UGMAZ,71,0,One year,1,Electronic check,56.45,3985.35,0,Male,1,0,0,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,1,0,0,1,0,1,0,0
130,2876-GZYZC,13,1,Month-to-month,1,Electronic check,85.95,1215.65,0,Female,0,0,0,Yes,Fiber optic,No,No,No,No,No,Yes,0,0,0,1,0,0,1,0
131,6207-WIOLX,25,0,Month-to-month,1,Credit card (automatic),58.6,1502.65,1,Female,0,1,1,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,0,0,1,0,0,0,0,0
132,8587-XYZSF,67,1,Two year,0,Bank transfer (automatic),50.55,3260.1,0,Male,0,0,0,No,DSL,No,No,No,Yes,No,No,0,1,0,0,0,1,0,0
133,3091-FYHKI,1,0,Month-to-month,1,Electronic check,35.45,35.45,1,Male,0,0,0,No phone service,DSL,No,No,No,No,No,Yes,0,0,0,1,0,1,0,0
134,2372-HWUHI,2,1,Month-to-month,0,Electronic check,44.35,81.25,1,Male,0,0,0,No,DSL,No,No,No,No,No,No,0,0,0,1,0,1,0,0
135,7799-LGRDP,43,1,Two year,1,Credit card (automatic),25.7,1188.2,0,Female,0,0,0,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,1,1,0,0,0,0,1
136,7850-VWJUU,23,1,Month-to-month,1,Bank transfer (automatic),75.0,1778.5,0,Female,0,0,0,No,Fiber optic,Yes,No,No,No,No,No,0,0,0,0,0,0,1,0
137,3774-VBNXY,64,1,Two year,0,Mailed check,20.2,1277.75,0,Female,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,1,0,0,1,0,0,1
138,6217-KDYWC,57,1,Two year,1,Mailed check,19.6,1170.55,0,Male,0,0,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,1,0,0,1,1,0,1
139,0390-DCFDQ,1,1,Month-to-month,1,Mailed check,70.45,70.45,1,Female,1,1,0,No,Fiber optic,No,No,No,No,No,No,0,0,0,0,1,0,1,0
140,3146-MSEGF,72,1,Two year,1,Credit card (automatic),88.05,6425.65,0,Female,1,1,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,0,1,1,0,0,0,0,0
141,4080-OGPJL,8,1,Month-to-month,0,Electronic check,71.15,563.65,1,Female,0,0,0,Yes,DSL,Yes,No,No,Yes,No,Yes,0,0,0,1,0,0,0,0
142,1095-WGNGG,61,1,Two year,1,Bank transfer (automatic),101.05,5971.25,0,Female,0,1,0,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,0,1,0,0,0,0,1,0
143,2636-SJDOU,64,1,One year,1,Credit card (automatic),84.3,5289.05,0,Male,0,0,0,Yes,Fiber optic,Yes,Yes,No,No,No,No,1,0,1,0,0,1,1,0
